month,neighborhood_municipality,total_partially_vaccinated,total_fully_vaccinated,total_fully_vaccinated_w_booster
2021-01-01,Sheraden (Pittsburgh),150,46,0
2021-01-01,South Versailles,10,4,0
2021-01-01,Southside Flats (Pittsburgh),624,323,0
2021-01-01,Springdale Township,85,26,0
2021-01-01,Swisshelm Park (Pittsburgh),140,43,0
2021-01-01,Tarentum,150,67,0
2021-01-01,Troy Hill (Pittsburgh),182,114,0
2021-01-01,Undefined (Pittsburgh),6,2,0
2021-01-01,Upper Hill (Pittsburgh),133,25,0
2021-01-01,Versailles,57,21,0
2021-01-01,Wall,26,6,0
2021-01-01,West Mifflin,1388,482,0
2021-01-01,Westwood (Pittsburgh),177,64,0
2021-01-01,White Oak,478,185,0
2021-01-01,Windgap (Pittsburgh),49,25,0
2021-02-01,Allentown (Pittsburgh),88,88,0
2021-02-01,Bedford Dwellings (Pittsburgh),65,12,0
2021-02-01,Bloomfield (Pittsburgh),571,649,0
2021-02-01,Bridgeville,602,340,0
2021-02-01,Brookline (Pittsburgh),1041,765,0
2021-02-01,Carnegie,675,347,0
2021-02-01,Collier,1020,632,0
2021-02-01,Coraopolis,399,284,0
2021-02-01,Crawford-Roberts (Pittsburgh),326,73,0
2021-02-01,Duquesne,214,109,0
2021-02-01,East Pittsburgh,72,33,0
2021-02-01,Elizabeth Township,1203,817,0
2021-02-01,Elliott (Pittsburgh),105,79,0
2021-02-01,Etna,173,139,0
2021-02-01,Fox Chapel,530,639,0
2021-02-01,Friendship (Pittsburgh),103,122,0
2021-02-01,Harrison,868,582,0
2021-02-01,Heidelberg,89,51,0
2021-02-01,Ingram,250,144,0
2021-02-01,Jefferson Hills,1040,1004,0
2021-02-01,Kennedy,1054,629,0
2021-02-01,Kilbuck,102,44,0
2021-02-01,Larimer (Pittsburgh),85,63,0
2021-02-01,Leetsdale,76,40,0
2021-02-01,Lincoln,70,49,0
2021-02-01,Manchester (Pittsburgh),158,83,0
2021-02-01,Mckees rocks,302,220,0
2021-02-01,McKeesport,859,585,0
2021-02-01,Neville,107,38,0
2021-02-01,Oakwood (Pittsburgh),73,51,0
2021-02-01,Ohio,905,645,0
2021-02-01,Pennsbury Village,64,45,0
2021-02-01,Regent Square (Pittsburgh),98,100,0
2021-02-01,Reserve,297,195,0
2021-02-01,Sewickley Hills,71,38,0
2021-02-01,Shaler,2954,1910,0
2021-02-01,Sheraden (Pittsburgh),243,137,0
2021-02-01,South Shore (Pittsburgh),6,14,0
2021-02-01,Southside Flats (Pittsburgh),516,483,0
2021-02-01,Spring Hill-City View (Pittsburgh),138,141,0
2021-02-01,Springdale Township,170,89,0
2021-02-01,Tarentum,213,149,0
2021-02-01,Upper Lawrenceville (Pittsburgh),136,157,0
2021-02-01,West Elizabeth,16,14,0
2021-02-01,West Homestead,182,150,0
2021-02-01,West Mifflin,1689,1187,0
2021-02-01,Windgap (Pittsburgh),154,51,0
2021-03-01,Baldwin Township,410,314,0
2021-03-01,Beechview (Pittsburgh),1251,813,0
2021-03-01,Bell Acres,295,170,0
2021-03-01,Bellevue,1333,774,0
2021-03-01,Bethel Park,7251,5221,0
2021-03-01,Blawnox,305,206,0
2021-03-01,Brackenridge,398,261,0
2021-03-01,Braddock Hills,295,204,0
2021-03-01,Central Northside (Pittsburgh),655,389,0
2021-03-01,Central Oakland (Pittsburgh),892,260,0
2021-03-01,Chalfant,102,81,0
2021-03-01,East Liberty (Pittsburgh),1022,441,0
2021-03-01,Esplen (Pittsburgh),38,22,0
2021-03-01,Fawn,338,190,0
2021-03-01,Forest Hills,1335,1016,0
2021-03-01,Frazer,206,118,0
2021-03-01,Garfield (Pittsburgh),590,308,0
2021-03-01,Glassport,572,320,0
2020-12-01,Point Breeze North (Pittsburgh),50,0,0
2020-12-01,Port Vue,56,0,0
2020-12-01,Sewickley,61,0,0
2020-12-01,South Versailles,4,0,0
2020-12-01,Spring Garden (Pittsburgh),13,0,0
2020-12-01,Springdale Borough,43,0,0
2020-12-01,Squirrel Hill North (Pittsburgh),296,0,0
2020-12-01,Stanton Heights (Pittsburgh),134,0,0
2020-12-01,Stowe,47,0,0
2020-12-01,Strip District (Pittsburgh),149,0,0
2020-12-01,Swisshelm Park (Pittsburgh),36,0,0
2020-12-01,Thornburg,13,0,0
2020-12-01,Turtle Creek,111,0,0
2020-12-01,Undefined (Pittsburgh),2,0,0
2020-12-01,Versailles,13,0,0
2020-12-01,West End (Pittsburgh),4,0,0
2020-12-01,West Oakland (Pittsburgh),28,0,0
2020-12-01,West View,122,0,0
2020-12-01,Westwood (Pittsburgh),56,0,0
2020-12-01,White Oak,115,0,0
2020-12-01,Wilkins,103,0,0
2021-08-01,Chateau (Pittsburgh),1,0,0
2021-08-01,Mcdonald,1,0,0
2021-10-01,Haysville,3,0,0
2021-10-01,West End (Pittsburgh),3,0,0
2022-04-01,West End (Pittsburgh),1,0,0
2022-05-01,Allegheny West (Pittsburgh),2,0,0
2022-05-01,Chartiers City (Pittsburgh),1,0,0
2022-05-01,East Carnegie (Pittsburgh),1,0,0
2022-05-01,South Versailles,1,0,0
2022-05-01,Wall,1,0,0
2022-07-01,Kilbuck,2,0,0
2022-07-01,West Elizabeth,1,0,0
2022-08-01,Central Oakland (Pittsburgh),9,0,0
2022-08-01,Hays (Pittsburgh),2,0,0
2022-08-01,Mt. Oliver (Pittsburgh),2,0,0
2022-09-01,Bradford Woods,1,0,0
2022-09-01,Central Oakland (Pittsburgh),1,0,0
2022-09-01,Fairywood (Pittsburgh),2,0,0
2022-09-01,Forward,2,0,0
2022-09-01,Hays (Pittsburgh),1,0,0
2022-03-01,South Versailles,2,0,0
2020-12-01,Polish Hill (Pittsburgh),28,0,0
2020-12-01,Rankin,11,0,0
2020-12-01,Regent Square (Pittsburgh),25,0,0
2020-12-01,Ross,669,0,0
2020-12-01,Sheraden (Pittsburgh),35,0,0
2020-12-01,St. Clair (Pittsburgh),4,0,0
2020-12-01,Tarentum,49,0,0
2020-12-01,Troy Hill (Pittsburgh),91,0,0
